Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,Cost of Operating Revenue,Provision & Impairment for Loan Losses,"Selling, General & Administrative Expenses - Total",Operating Profit before Non-Recurring Income/Expense,Income before Discontinued Operations & Extraordinary Items,Loans & Receivables - Total,Investments - Total,Total Assets,Deposits - Total,Common Equity - Total,Tangible Total Equity,Earning Assets,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Book Value per Share,Tangible Book Value per Share,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",Interest & Dividend Income - Finance - Total,Net Commission & Fees Income/(Expense) - Business Revenue,Revenue from Business Activities - Total,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Deposits - Total,Loans & Receivables - Total,Total Assets,Capital Adequacy - Total (%),Capital Adequacy - Tier 1 (%),Capital Adequacy - Core Tier 1 (%),Capital Adequacy - Tier 2 (%),Risk Weighted Assets,Leverage Ratio - Basel 3 - %,Reserves for Loan Losses - Total Percentage of Loans - Gross - Total,Reserves for Loan Losses - Total Percentage of Total Assets,Loans - Gross - Total Percentage of Total Assets,Loans to Deposits (End of Period),Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Earnings Retention Rate,Dividend Payout Ratio - %,Dividend Coverage - %
2021-08-03,AXP,American Express,8.8406,13.0813,18.2891,25.7184,34.1666,41.8808,47.3176,52.7512,56.9256,60.2302,161.71458435058594,162.9104151507923,158.13666793879668,162.3938226680225,3642000.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-04,AXP,American Express,8.5691,12.5904,18.0873,25.7493,34.4639,42.5507,48.2471,53.4524,57.4528,60.6205,160.7770538330078,163.05392030168284,160.0691313560571,161.0066585971112,3544400.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-05,AXP,American Express,8.5902,11.9238,17.7984,25.8271,34.7652,43.1168,48.9995,54.3376,58.4207,61.6397,162.27906799316406,163.1400605446995,161.02583933807574,161.35110189331823,2535400.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-06,AXP,American Express,7.8439,11.8031,17.787,25.7599,34.6934,43.2003,49.1909,54.5964,58.7222,61.9692,163.93408203125,165.35951784983865,162.38428971399205,163.14004848915403,2828700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-09,AXP,American Express,8.6292,13.0587,18.165,26.0526,34.4749,43.0953,49.1607,54.6328,58.8008,62.0748,163.37918090820312,163.7044433721533,161.4754130794181,162.96782213277385,2560200.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-10,AXP,American Express,8.5267,12.8453,18.1483,26.1675,34.5125,43.2588,49.4124,54.8451,59.0169,62.3185,162.14512634277344,164.25934743007255,161.3702155730697,163.33138138260023,3389500.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-11,AXP,American Express,8.7217,13.0262,17.9739,25.778,34.6479,43.5492,49.8106,55.3137,59.5295,62.8582,163.2739715576172,163.33136910715993,161.36064205261547,162.1068393917625,3843400.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-12,AXP,American Express,8.3363,12.3643,17.6241,25.2721,33.9151,42.5376,48.6022,53.9798,58.1237,61.4128,161.21713256835938,162.73822587413974,160.69096408592281,162.6521295581622,3372800.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-13,AXP,American Express,8.2425,12.3974,17.3857,25.3876,33.6029,42.0949,48.0676,54.113,58.7519,62.4208,158.88290405273438,161.00670124118054,158.43327039407384,160.80579519468534,4157700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-16,AXP,American Express,8.4093,12.8497,17.8999,25.6178,33.7777,42.1707,48.0729,54.2063,58.9127,62.6348,158.56716918945312,158.7106630510593,155.5823800876894,157.62964189935582,3845400.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-17,AXP,American Express,8.5994,12.336,17.6178,25.2443,33.7695,42.672,48.9295,55.3376,60.2191,64.0555,157.51486206054688,159.14120398716804,156.27120943084435,157.62009577818063,7631600.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-18,AXP,American Express,8.6268,12.899,17.8248,25.4548,33.7856,42.6589,48.8949,55.2863,60.1569,63.9862,155.10403442382812,157.98358958045236,155.03706089580416,156.73036130496988,3563700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-19,AXP,American Express,8.7835,13.5537,18.3639,26.5329,34.9738,43.9413,50.2423,55.7692,60.012,63.3685,152.13839721679688,154.1091243075385,150.5120700271831,153.2194330781933,4256400.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-20,AXP,American Express,8.4314,12.5176,18.0244,26.0211,34.5248,43.0757,49.0863,54.4324,58.5665,61.8581,152.82716369628906,153.05676844615942,151.2103982517825,151.96617142997493,3075000.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-23,AXP,American Express,8.4695,12.8737,17.6712,25.2971,33.4639,42.0727,48.1205,53.4895,57.6489,60.9658,153.49685668945312,154.83619610209425,153.17159417686503,154.2430540289414,2006300.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-24,AXP,American Express,7.9877,12.0413,17.1507,24.5633,32.6226,40.8893,46.6965,52.9307,57.7107,61.4888,154.21435546875,154.88401787722958,153.24812932205415,153.64036537471566,2377600.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-25,AXP,American Express,8.0259,11.8255,16.6588,23.9365,32.2093,40.5833,46.4631,52.7475,57.5619,61.3645,158.97854614257812,159.9830470811442,153.5446971986926,154.86489926638208,3579900.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-26,AXP,American Express,7.8332,11.4527,16.5801,23.7606,31.8938,40.1519,45.9482,51.3296,55.458,58.7226,158.3376007080078,159.28470420434002,157.25657930850903,158.77767298038225,3164700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-27,AXP,American Express,7.7219,11.4612,16.4646,23.8345,31.5971,40.262,46.3418,51.9262,56.1871,59.5412,161.3415069580078,161.57111175698017,158.00275626686692,158.18452490802682,3002300.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-30,AXP,American Express,7.8659,10.9928,15.7297,22.9966,31.2349,39.3366,45.0203,50.5405,54.7735,58.12,157.14175415039062,161.00668810121437,157.09393258862326,160.87275561366383,2582100.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-08-31,AXP,American Express,7.8533,11.8986,16.5496,23.0949,31.267,39.2192,44.7975,50.2431,54.4282,57.7432,158.76809692382812,159.21771595091494,156.62516251275798,156.9886998086435,3536300.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-09-01,AXP,American Express,8.2762,12.0771,16.4518,22.9,31.3969,39.535,45.2399,50.8219,55.1,58.4806,157.3139190673828,160.03084285367248,157.01735539601532,159.1315758517566,2569000.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-09-02,AXP,American Express,8.2863,11.0938,15.6791,22.8107,31.0701,38.6535,43.9712,49.2648,53.3633,56.6308,155.0275421142578,157.92623544667055,154.15697359592997,157.89753666892764,4350600.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-09-03,AXP,American Express,7.348,10.9275,16.0474,23.2306,30.6786,39.024,44.8736,50.5883,54.9643,58.419,152.39669799804688,154.29089012074982,151.31566215646976,153.78385896971088,4206500.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-09-07,AXP,American Express,8.3089,11.9753,16.3166,22.8726,31.0252,38.522,43.7735,49.0363,53.1312,56.408,152.79849243164062,153.69775961690985,151.6983338269234,151.985321568992,3779000.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-09-08,AXP,American Express,8.3828,12.0771,16.2626,22.9251,31.2497,38.7653,44.0291,49.9581,54.4966,58.0794,152.04270935058594,152.35841044412695,150.00502352506768,152.291451507794,3056700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-09-09,AXP,American Express,7.8235,11.6083,16.2556,23.1272,31.0234,38.5798,43.8719,49.8252,54.3831,57.9817,152.48281860351562,155.1232084858428,151.66964759535594,151.8992524276423,3295800.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
2021-09-10,AXP,American Express,7.4417,11.1103,15.8909,23.2609,30.7436,38.8849,44.5864,50.8792,55.6582,59.4049,151.84181213378906,154.4630784905102,151.52611105232842,154.18563757155513,2943700.0,2140.0,5029.0,7412.0,322.0,-606.0,4793.0,2692.0,2280.0,121441.0,13866.0,186973.0,84905.0,25539.0,25539.0,87795.0,3185.0,412.0,290.0,-9484.0,32.0,32.0,2.8,802.0,1.04,39.67,22.45,30.76,29.7,3.74,2140.0,5029.0,7412.0,2.8,798.0,84905.0,121441.0,186973.0,16.8,15.3,14.2,1.5,147500.0,12.2,5.02,2.09,41.63,0.87,20.98,60.57,153.6,0.85,15.38,650.0
